cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	Concepticon_Gloss	Concepticon_ID	concept_url
the Seumalur 1912 list	72	mêntaitai	NA	poepen	to defecate	berak	172	176	60	FALSE									SHIT (DEFECATE)	676	https://concepticon.clld.org/parameters/676
the Seumalur 1912 list	73	mahi'èl	NA	poep	faeces	tahi	173	177	61	FALSE									FAECES (EXCREMENT)	675	https://concepticon.clld.org/parameters/675
the Seumalur 1912 list	75	kàntoi	NA	wind laten	to fart	berkentut	174	179	63	FALSE									FART	1159	https://concepticon.clld.org/parameters/1159
the Seumalur 1912 list	76	aboeto	NA	stinken	to stink, to smell	berbau busuk	-	178	64	FALSE									SMELL (STINK)	1587	https://concepticon.clld.org/parameters/1587
the Seumalur 1912 list	78	apo	NA	vagina	vagina	puki, liang peranakan	48	49	67	FALSE									VAGINA	1836	https://concepticon.clld.org/parameters/1836
the Seumalur 1912 list	77	maōh	NA	penis	penis	batang pelir	47	48	65	FALSE									PENIS	1222	https://concepticon.clld.org/parameters/1222
the Seumalur 1912 list	80	moeroe'ita	NA	coitus  uitoefenen (v.mensen)	to have intercourse	bersetubuh (manusia)	-	-	68	FALSE									COPULATE	549	https://concepticon.clld.org/parameters/549
the Seumalur 1912 list	82	gi'èl	NA	pissen	to urinate	kencing (k.k.)	170	174	69	FALSE									PISS	592	https://concepticon.clld.org/parameters/592
the Seumalur 1912 list	83	gi'èl	NA	pis	piss, urine	air kencing (k.b.)	171	175	70	FALSE									URINE	1142	https://concepticon.clld.org/parameters/1142
the Seumalur 1912 list	84	kaoe	NA	been	leg	kaki	49	50	-	TRUE		typo from leki							LEG	1297	https://concepticon.clld.org/parameters/1297
the Seumalur 1912 list	85	bìt'is	2	voet (met beneden been)	foot (plus lower leg)	kaki (sebelah bawah)	-	-	71	FALSE			aha	upper leg					FOOT OR LEG	2098	https://concepticon.clld.org/parameters/2098
the Seumalur 1912 list	85	bìt'is	2	voet (met beneden been)	foot (plus lower leg)	kaki (sebelah bawah)	-	-	71	FALSE			bìt'is	lower leg					FOOT OR LEG	2098	https://concepticon.clld.org/parameters/2098
the Seumalur 1912 list	86	kà'oe	NA	voet	foot	kaki	54	55	55	TRUE		typo from leki							FOOT	1301	https://concepticon.clld.org/parameters/1301
the Seumalur 1912 list	86	dêloewa kaoe	NA	voet	foot	kaki	54	55	55	TRUE		typo from leki							FOOT	1301	https://concepticon.clld.org/parameters/1301
the Seumalur 1912 list	88	sàndi	NA	enkel	ankle	buku kaki, pergelangan kaki	55	56	73	FALSE									ANKLE	803	https://concepticon.clld.org/parameters/803
the Seumalur 1912 list	89	matàntja'ah	NA	hiel	heel	tumit	-	-	74	FALSE									HEEL	980	https://concepticon.clld.org/parameters/980
the Seumalur 1912 list	90	aha	NA	dij	thigh	paha	50	51	75	FALSE									UPPER LEG (THIGH)	471	https://concepticon.clld.org/parameters/471
the Seumalur 1912 list	91	bohol	NA	knie	knee	lutut	51	52	76	TRUE									KNEE	1371	https://concepticon.clld.org/parameters/1371
the Seumalur 1912 list	93	isí doeloe	NA	knit	calf	betis	52	53	78	FALSE									CALF OF LEG	498	https://concepticon.clld.org/parameters/498
the Seumalur 1912 list	94	doeloe	NA	scheen	shin	tulang kering	53	54	79	FALSE									SHIN	186	https://concepticon.clld.org/parameters/186
the Seumalur 1912 list	95	kou	NA	arm	arm	lengan	40	41	-	FALSE									ARM	1673	https://concepticon.clld.org/parameters/1673
the Seumalur 1912 list	96	klèng klèng kou	NA	hand (met beneden aim)	hand plus fore-arm	tangan (sebelah bawah)	-	-	80	FALSE									ARM OR HAND	2121	https://concepticon.clld.org/parameters/2121
the Seumalur 1912 list	97	kou	NA	hand	hand	tangan	56	57	-	TRUE									HAND	1277	https://concepticon.clld.org/parameters/1277
the Seumalur 1912 list	98	tè'àl	NA	bovenann	upper arm	pangkal lengan	-	-	81	FALSE									UPPER ARM	431	https://concepticon.clld.org/parameters/431
the Seumalur 1912 list	99	pah	NA	oksel	armpit	ketiak	42	43	82	FALSE									ARMPIT	1886	https://concepticon.clld.org/parameters/1886
the Seumalur 1912 list	100	matànsi'oe	NA	elleboog	elbow	siku	41	42	83	FALSE									ELBOW	981	https://concepticon.clld.org/parameters/981
the Seumalur 1912 list	102	dêloewa kou	NA	handpalm	palm of the hand	telapak tangan	57	58	85	FALSE									PALM OF HAND	1183	https://concepticon.clld.org/parameters/1183
the Seumalur 1912 list	105	anàk kou	NA	vingers	fingers	jari tangan (jamak)	58	59	-	FALSE									FINGER	1303	https://concepticon.clld.org/parameters/1303
the Seumalur 1912 list	107	tênàp	NA	nagel	(finger)nail	kuku	59	60	89	FALSE									FINGERNAIL OR TOENAIL	1896	https://concepticon.clld.org/parameters/1896
the Seumalur 1912 list	108	alèvèn kou	NA	duim	thumb	ibu jari	60	61	90	FALSE									THUMB	1781	https://concepticon.clld.org/parameters/1781
the Seumalur 1912 list	109	itoe toeroe	NA	wijsvinger	index finger	telunjuk	61	62	91	FALSE									FOREFINGER	577	https://concepticon.clld.org/parameters/577
the Seumalur 1912 list	110	anàk kou malàng	NA	middelvinger	middle finger	jari tengah	62	63	92	FALSE									MIDDLE FINGER	3387	https://concepticon.clld.org/parameters/3387
the Seumalur 1912 list	111	anàk kou manie	NA	ringvinger	ring finger	jari manis	63	64	93	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	112	anak kou sìtoh	NA	pink	little finger	kelingking	64	65	94	FALSE									LITTLE FINGER	2774	https://concepticon.clld.org/parameters/2774
the Seumalur 1912 list	115	sot	NA	been (gebeente)	bone	tulang	65	66	97	TRUE									BONE	1394	https://concepticon.clld.org/parameters/1394
the Seumalur 1912 list	116	dala	NA	bloed	blood	darah	66	67	98	TRUE									BLOOD	946	https://concepticon.clld.org/parameters/946
the Seumalur 1912 list	117	isi	NA	vlees op het lichaam	flesh	daging	67	68	99	FALSE									FLESH OR MEAT	2615	https://concepticon.clld.org/parameters/2615
the Seumalur 1912 list	118	olor	NA	pees	tendon	urat	68	69	100	FALSE									TENDON	1137	https://concepticon.clld.org/parameters/1137
the Seumalur 1912 list	121	bíbí	NA	huid	skin	kulit	70	71	101	TRUE									SKIN	763	https://concepticon.clld.org/parameters/763
the Seumalur 1912 list	122/123	boe	NA	haar <unsp.>	body hair [ID_122]; body hair (animal) [ID_123]	bulu [ID_122]; bulu (binatang) [ID_123]	71	72	-	FALSE									HAIR	1040	https://concepticon.clld.org/parameters/1040
the Seumalur 1912 list	124	ating-ating	NA	zweet	sweat	keringat	73	74	103	FALSE									SWEAT (SUBSTANCE)	125	https://concepticon.clld.org/parameters/125
the Seumalur 1912 list	125	iloel	NA	speeksel	saliva	ludah	74	75	104	FALSE									SALIVA	1503	https://concepticon.clld.org/parameters/1503
the Seumalur 1912 list	126	toho	NA	fluim	phlegm	dahak	-	76	105	FALSE									PHLEGM	3061	https://concepticon.clld.org/parameters/3061
the Seumalur 1912 list	127	asèng asèng	3	ademen	to breath	bernapas	115	116	106	FALSE			asèng asèng				Lakun (L)		BREATH OR BREATHE	3183	https://concepticon.clld.org/parameters/3183
the Seumalur 1912 list	127	aheung aheung	3	ademen	to breath	bernapas	115	116	106	FALSE			aheung aheung				East <?> Seumalur (OS)		BREATH OR BREATHE	3183	https://concepticon.clld.org/parameters/3183
the Seumalur 1912 list	128	anàm mangan	4	eten	to eat	makan	116	117	107	TRUE	eat		anàm mangan				Lakun (L)		EAT	1336	https://concepticon.clld.org/parameters/1336
the Seumalur 1912 list	128	mangah	4	eten	to eat	makan	116	117	107	TRUE	eat		mangah				Lakun (L)		EAT	1336	https://concepticon.clld.org/parameters/1336
the Seumalur 1912 list	129	malabal	NA	hongerig	hungry	lapar	734	752	108	FALSE									BE HUNGRY	1533	https://concepticon.clld.org/parameters/1533
the Seumalur 1912 list	130	mangínoem	NA	drinken	to drink	minum	117	118	109	TRUE	drink								DRINK	1401	https://concepticon.clld.org/parameters/1401
the Seumalur 1912 list	131	mavok	NA	dronken	drunk	mabuk	-	474	367	FALSE									DRUNK	1463	https://concepticon.clld.org/parameters/1463
the Seumalur 1912 list	132	màgno màgno	NA	dorstig	thirsty	haus	736	754	110	FALSE									THIRSTY	847	https://concepticon.clld.org/parameters/847
the Seumalur 1912 list	133	avêkong	NA	verzadigd	satisfied	kenyang, puas	735	753	111	FALSE									FULL	1429	https://concepticon.clld.org/parameters/1429
the Seumalur 1912 list	134	abekong	5	zat, verzadigd	replete, satisfied	kenyang, puas	-	119	-	FALSE			abekong				Lakun (L)		SATIATED	106	https://concepticon.clld.org/parameters/106
the Seumalur 1912 list	134	aboeoh	5	zat, verzadigd	replete, satisfied	kenyang, puas	-	119	-	FALSE			aboeoh				East <?> Seumalur (OS)		SATIATED	106	https://concepticon.clld.org/parameters/106
the Seumalur 1912 list	135	nila	NA	bijten	to bite	gigit	-	-	112	TRUE	bite								BITE	1403	https://concepticon.clld.org/parameters/1403
the Seumalur 1912 list	137	ivoetut	NA	slikken	to swallow	telan	118	120	-	FALSE									SWALLOW	897	https://concepticon.clld.org/parameters/897
the Seumalur 1912 list	138	memeuh imbimi?	6	slapen	to sleep	tidur	119	121	114	TRUE	sleep		memeuh <imbimi?>				Lakun (L)		SLEEP	1585	https://concepticon.clld.org/parameters/1585
the Seumalur 1912 list	138	meuleuh	6	slapen	to sleep	tidur	119	121	114	TRUE	sleep		meuleuh				East <?> Seumalur (OS)		SLEEP	1585	https://concepticon.clld.org/parameters/1585
the Seumalur 1912 list	139/140	mêníhi	NA	dromen, droom <unsp.>	to dream [ID_139]; dream [ID_140]	bermimpi [ID_139]; impian [ID_140]	120	122	-	FALSE									DREAMING OR DREAM	2455	https://concepticon.clld.org/parameters/2455
the Seumalur 1912 list	143	abajoe	NA	opstaan	to get up	bangun dari duduk, tidur	-	-	119	FALSE									RISE (ONESELF)	1512	https://concepticon.clld.org/parameters/1512
the Seumalur 1912 list	144	oemidik	NA	staan	to stand	berdiri	121	123	120	TRUE	stand								STAND	1442	https://concepticon.clld.org/parameters/1442
the Seumalur 1912 list	145	loemalaòh	7	lopen	to walk	berjalan	122	124	121	TRUE	walk		loemalaòh	to walk			Lakun (L)		WALK	1443	https://concepticon.clld.org/parameters/1443
the Seumalur 1912 list	145	hoemalaoh?	7	lopen	to walk	berjalan	122	124	121	TRUE	walk		hoemalaoh?	to walk			Lakun (L)		WALK	1443	https://concepticon.clld.org/parameters/1443
the Seumalur 1912 list	145	moufaně	7	lopen	to walk	berjalan	122	124	121	TRUE	walk		moufaně	to walk			East <?> Seumalur (OS)		WALK	1443	https://concepticon.clld.org/parameters/1443
the Seumalur 1912 list	145	soemisioel	7	lopen	to walk	berjalan	122	124	121	TRUE	walk		soemisioel				East <?> Seumalur (OS), Lakun (L)		WALK	1443	https://concepticon.clld.org/parameters/1443
the Seumalur 1912 list	145	oemoedoeng	7	lopen	to walk	berjalan	122	124	121	TRUE	walk		oemoedoeng	to run			Lakun (L)		WALK	1443	https://concepticon.clld.org/parameters/1443
the Seumalur 1912 list	145	dalan	7	lopen	to walk	berjalan	122	124	121	TRUE	walk		dalan	to run away			Lakun (L)		WALK	1443	https://concepticon.clld.org/parameters/1443
the Seumalur 1912 list	145	lalah	7	lopen	to walk	berjalan	122	124	121	TRUE	walk		lalah	to run away			East <?> Seumalur (OS)		WALK	1443	https://concepticon.clld.org/parameters/1443
the Seumalur 1912 list	146	maihai'àk	NA	liggen op de rug	to lie supine	telentang	124	126	123	FALSE									LIE (REST)	1411	https://concepticon.clld.org/parameters/1411
the Seumalur 1912 list	147	malòng òp meureu	NA	liggen op de buik	to lie prone	tiarap	125	127	124	FALSE									LIE DOWN	215	https://concepticon.clld.org/parameters/215
the Seumalur 1912 list	148	maimeureu	NA	liggen (in het algemeen)	to lie	berbaring	123	125	122	TRUE	lie								LIE DOWN	215	https://concepticon.clld.org/parameters/215
the Seumalur 1912 list	149	màta'oe	NA	zitten (op een stoel, bank etc.)	to sit (on a chair)	duduk (di atas kursi)	126	128	125	TRUE	sit								SIT DOWN	1649	https://concepticon.clld.org/parameters/1649
the Seumalur 1912 list	150	màta'oe mêlipèt kaoe	NA	zitten (met de benen kruiselings)	to sit (with the legs crossed)	bersila	127	129	126	TRUE	sit								NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	151	loematahun?	NA	zitten (met de beide benen op zij en gebogen)	to sit (with the knees bent to one side)	bertimpuh	128	130	127	TRUE	sit								NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	152	toemataeim	8	hurken	to squat	berjongkok	129	131	128	FALSE			baselòh				East <?> Seumalur (OS)		SQUAT	3163	https://concepticon.clld.org/parameters/3163
the Seumalur 1912 list	152	baselòh	8	hurken	to squat	berjongkok	129	131	128	FALSE			baselòh				East <?> Seumalur (OS)		SQUAT	3163	https://concepticon.clld.org/parameters/3163
the Seumalur 1912 list	153	loemàngoi	9	zwemmen	to swim	berenang	131	133	129	TRUE	swim, to		loemàngoi				Lakun (L)		SWIM	1439	https://concepticon.clld.org/parameters/1439
the Seumalur 1912 list	153	loemalangi	9	zwemmen	to swim	berenang	131	133	129	TRUE	swim, to		loemalangi				East <?> Seumalur (OS)		SWIM	1439	https://concepticon.clld.org/parameters/1439
the Seumalur 1912 list	154	doemè	NA	baden <intr.>	to take a bath	mandi	169	173	130	FALSE									WASH	1453	https://concepticon.clld.org/parameters/1453
the Seumalur 1912 list	156	gagab	10	stotteren	to stammer	gagap	133	135	132	FALSE			badoe nila		tidag taoe		Lakun (L)		STUTTER	1866	https://concepticon.clld.org/parameters/1866
the Seumalur 1912 list	157	aragànngèja	NA	brouwen	to speak with a burr	berbicara dengan artikulasi uvular	134	136	-	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	158	lieng?	11	stem	voice	suara	135	137	133	FALSE			<lieng?>				Lakun (L)		VOICE	1363	https://concepticon.clld.org/parameters/1363
the Seumalur 1912 list	158	oewalienie	11	stem	voice	suara	135	137	133	FALSE			oewalienie				East <?> Seumalur (OS)		VOICE	1363	https://concepticon.clld.org/parameters/1363
the Seumalur 1912 list	159	akos loengoen	NA	schor(hees)	hoarse	parau	-	716	134	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	160	ifalan	12	schreeuwen	to shout	berteriak	136	138	-	FALSE			oema'ong²				Lakun (L)		SHOUT	715	https://concepticon.clld.org/parameters/715
the Seumalur 1912 list	160	ifalan	12	schreeuwen	to shout	berteriak	136	138	-	FALSE			fa'eundoe				East <?> Seumalur (OS)		SHOUT	715	https://concepticon.clld.org/parameters/715
the Seumalur 1912 list	161	oemohem	13	lachen	to laugh	tertawa	137	139	135	TRUE	laugh		oemohem				Lakun (L)		LAUGH	1355	https://concepticon.clld.org/parameters/1355
the Seumalur 1912 list	161	toematawa	13	lachen	to laugh	tertawa	137	139	135	TRUE	laugh		toematawa				East <?> Seumalur (OS)		LAUGH	1355	https://concepticon.clld.org/parameters/1355
the Seumalur 1912 list	163	oemunge	14	schreien <intr.>	to weep	menangis	138	140	137	TRUE	cry		oemunge				Lakun (L)		CRY	1839	https://concepticon.clld.org/parameters/1839
the Seumalur 1912 list	163	mè'èh	14	schreien <intr.>	to weep	menangis	138	140	137	TRUE	cry		mè'èh				East <?> Seumalur (OS)		CRY	1839	https://concepticon.clld.org/parameters/1839
the Seumalur 1912 list	165	omèhèm badoe malí	15	glimlachen	to smile	tersenyum	139	141	139	FALSE			omèhèm badoe malí		tidag berapa		Lakun (L)		SMILE	1451	https://concepticon.clld.org/parameters/1451
the Seumalur 1912 list	166	alahóhi	NA	zuchten	to sigh	berkeluh kesah, mengeluh	140	142	140	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	167	síloel	16	spugen, spuwen	to spit	meludah	141	143	141	FALSE			toematawa èchèh				East <?> Seumalur (OS)		SPIT	1440	https://concepticon.clld.org/parameters/1440
the Seumalur 1912 list	168	oemoeta	17	braken	to vomit	muntah	-	-	142	TRUE	vomit		don oemoeta	emetic					VOMIT	1278	https://concepticon.clld.org/parameters/1278
the Seumalur 1912 list	169	mavanàn	NA	niezen	to sneeze	bersin	142	144	143	FALSE									SNEEZE	1621	https://concepticon.clld.org/parameters/1621
the Seumalur 1912 list	170	totoh	NA	hoesten	to cough	batuk	143	145	144	FALSE									COUGH	879	https://concepticon.clld.org/parameters/879
the Seumalur 1912 list	172	sêloe sêloetan	NA	hik	hiccups	tersedu	-	146	-	FALSE									HICCOUGH	162	https://concepticon.clld.org/parameters/162
the Seumalur 1912 list	173	mêtêgum	NA	zich verslikken	to choke	tersedak	-	147	146	FALSE									CHOKE	129	https://concepticon.clld.org/parameters/129
the Seumalur 1912 list	174	nā'un	18	boer (oprisping)	belch	sendawa	-	148	147	FALSE		typo in the original as serdawa; should be sendawa	nā'un				Lakun (L)		BELCH	2245	https://concepticon.clld.org/parameters/2245
the Seumalur 1912 list	174	oemeu'hah	18	boer (oprisping)	belch	sendawa	-	148	147	FALSE		typo in the original as serdawa; should be sendawa	oemeu'hah				East <?> Seumalur (OS)		BELCH	2245	https://concepticon.clld.org/parameters/2245
the Seumalur 1912 list	176	mêtoelai	NA	gapen	to yawn	menguap	144	149	149	FALSE									YAWN	1028	https://concepticon.clld.org/parameters/1028
the Seumalur 1912 list	177	angoh	19	knikken	to nod	mengangguk	145	150	-	FALSE			angoh	to nod					NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	177	aséh	19	knikken	to nod	mengangguk	145	150	-	FALSE			aséh	to shake one's head					NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	178	avìsìlàn	NA	zwanger	pregnant	hamil	-	-	150	FALSE									PREGNANT	1123	https://concepticon.clld.org/parameters/1123
the Seumalur 1912 list	182	orib	NA	leven (levend)	to live (alive)	hidup	163	168	154	TRUE	live								BE ALIVE	1422	https://concepticon.clld.org/parameters/1422
the Seumalur 1912 list	183	maoenì amakàràp	NA	sterven	to die	meninggal dunia	161	166	155	TRUE	die								DIE	1494	https://concepticon.clld.org/parameters/1494
the Seumalur 1912 list	184	ngàng màtaì	NA	dood (zelfstnw.)	death	kematian	164	169	-	FALSE									DEATH	910	https://concepticon.clld.org/parameters/910
the Seumalur 1912 list	188	màtaì	NA	lijk	corpse	mayat	162	167	-	FALSE									CORPSE	767	https://concepticon.clld.org/parameters/767
the Seumalur 1912 list	190	mànàmàn	NA	begraven	to bury	mengubur	-	-	159	FALSE									BURY	1719	https://concepticon.clld.org/parameters/1719
the Seumalur 1912 list	191	dìràt	NA	graf	grave	kuburan	244	242	160	FALSE									GRAVE	1773	https://concepticon.clld.org/parameters/1773
the Seumalur 1912 list	192	amoenoe	NA	doden	to kill	membunuh	166	170	161	TRUE	kill								KILL	1417	https://concepticon.clld.org/parameters/1417
the Seumalur 1912 list	192	mêdi in matai	NA	doden	to kill	membunuh	166	170	161	TRUE	kill								KILL	1417	https://concepticon.clld.org/parameters/1417
the Seumalur 1912 list	193	boelawan	NA	erven	to inherit	mewarisi	167	171	-	FALSE									INHERIT	3664	https://concepticon.clld.org/parameters/3664
the Seumalur 1912 list	194	boelawan	NA	erfenis	inheritance	warisan	168	172	-	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
the Seumalur 1912 list	196	bê'ilin	NA	wond	wound	luka	177	181	163	FALSE									WOUND	1109	https://concepticon.clld.org/parameters/1109
the Seumalur 1912 list	197	entja	NA	zweer	an infected wound	luka bernanah	178	182	-	FALSE									INFECTED	548	https://concepticon.clld.org/parameters/548
the Seumalur 1912 list	198	talon bê'ilin	NA	litteken	scar	bekas luka	179	183	164	FALSE									SCAR	497	https://concepticon.clld.org/parameters/497
the Seumalur 1912 list	199	akos	NA	ziek	ill	sakit	730	748	165	FALSE									SICK	1847	https://concepticon.clld.org/parameters/1847
